Celebrity,Mother
Sasha Calle,Unknown,Unknown
Annie Murphy,Sheila Murphy,Unknown
Golshifteh Farahani,Fahimeh Rahim Nia,Unknown
Kate Mara,Kathleen McNulty Rooney,Mickey Rooney
Josh Hartnett,Wendy Anne Hartnett,Unknown
Jennifer Lawrence,Karen Lawrence,Jennifer Lawrence
Aaron Taylor-Johnson,Sarah Johnson,Unknown
Rebecca Ferguson,Rosemary Ferguson,Elfie Reigate
Monica Barbaro,Heidi Wagner,Unknown
Chris Hemsworth,Leonie Hemsworth,Chris Hemsworth
Wes Anderson,Texas Ann Burroughs,Unknown
Daniel Portman,Fiona Biggar,Unknown
Lily-Rose Depp,Vanessa Paradis,Lily-Rose Depp
Myha'la Herrold,Unknown,Unknown
Zendaya,Claire Stoermer,Zendaya Coleman
Ezra Miller,Marta Miller,Unknown
Olga Kurylenko,Marina Alyabusheva,Mila Kunis
Zazie Beetz,Heike Beetz,Unknown
Arnold Schwarzenegger,Aurelia Jadrny,Arnold Schwarzenegger
Emilia Clarke,Jennifer Clarke,Unknown
Jess Bush,Unknown,Unknown
Clara Rugaard,Unknown,Unknown
Molly Gordon,Jessie Nelson,Unknown
Isabel May,Unknown,Unknown
Hailee Steinfeld,Cheri Steinfeld,Hailee Steinfeld
Hannah Waddingham,Melodie Kelly,Unknown
Christina Chong,Unknown,Unknown
Rory Culkin,Kit Culkin,Macaulay Culkin
Cobie Smulders,Unknown,Unknown
Harrison Ford,Dorothy Nidelman,Barbra Streisand
Tom Cruise,Mary Lee Pfeiffer,Unknown
Carol Kane,Joyce Lunney,Unknown
Alexandra Daddario,Christina Daddario,Unknown
Gal Gadot,Irit Gadot,Alma Versano
Tom Holland,Nikki Holland,Tom Holland
Hayley Atwell,Alison Cain,Unknown
Salma Hayek,Diana Jiménez Medina,Salma Hayek
Ana de Armas,Ana Rodriguez,Unknown
Will Poulter,Caroline Poulter,Unknown
Anson Mount,Nancy Smith,Unknown
Paapa Essiedu,Unknown,Unknown
Sam Hargrave,Unknown,Unknown
Margot Robbie,Sarie Kessler,Margot Robbie
Nicolas Cage,Joy Vogelsang,Nicolas Cage
Henry Cavill,Marianne Cavill,Henry Cavill
Juno Temple,Amanda Pirie,Unknown
Cailee Spaeny,Rejoice Spaeny,Cailee Spaeny
Treat Williams,Marian Andrew Williams,Unknown
Alexander Skarsgård,My Skarsgård,Bill Skarsgård
Rebecca Romijn,Elizabeth Kuizenga,Unknown
Rebecca Romijn,Elizabeth Kuizenga,Unknown
Monica Dolan,Unknown,Unknown
Anya Taylor-Joy,Unknown,Unknown
Sophia Lillis,Juliana Mellevold,Unknown
Emmanuelle Vaugier,Unknown,Unknown
Aaron Paul,Darla Sturtevant,Unknown
Elliot Page,Martha Philpotts,Unknown
Robin Tunney,Catherine Tunney,Unknown
Mike Faist,Unknown,Unknown
Tinatin Dalakishvili,Unknown,Unknown
Sarah Snook,Unknown,Unknown
Jenna Ortega,Natalie Ortega,Unknown
Zoe Saldana,Asalia Nazario,Marc Anthony
Anjana Vasan,Unknown,Unknown
Ben Mendelsohn,Carole Ann Ferguson,Unknown
Jeremy Allen White,Sherry White,Unknown
Ayo Edebiri,Unknown,Unknown
Keanu Reeves,Patricia Taylor,Keanu Reeves
Pom Klementieff,Unknown,Unknown
Scarlett Johansson,Melanie Sloan,Scarlett Johansson
Tornike Gogrichiani,Unknown,Unknown
James Cameron,Shirley Cameron,Unknown
Pedro Pascal,Verónica Pascal Ureta,Pedro Pascal
Kaley Cuoco,Layne Ann Wingate,Unknown
Samuel L. Jackson,Elizabeth Harriett Jackson,Unknown
Terri Ivens,Unknown,Unknown
Florence Pugh,Deborah Pugh,Unknown
Shea Whigham,Beth Whigham,Shea Whigham
Kingsley Ben-Adir,Unknown,Unknown
Michael Keaton,Leona Elizabeth Loftus,Unknown
Julian Sands,Unknown,Unknown
Christopher Nolan,Christina Nolan,Unknown
Tom Hanks,Janet Marylyn Frager,Tom Hanks
