Celebrity,Mother,Child
Sasha Calle,Unknown,Unknown
Annie Murphy,Sheila Murphy,Annie Murphy
Golshifteh Farahani,Fahimeh Rahim Nia,Golshifteh Farahani
Kate Mara,Kathleen McNulty Rooney,Kate Mara
Josh Hartnett,Wendy Anne Hartnett,Josh Hartnett
Jennifer Lawrence,Karen Lawrence,Jennifer Lawrence
Aaron Taylor-Johnson,Sarah Johnson,Aaron Taylor-Johnson
Rebecca Ferguson,Rosemary Ferguson,Rebecca Ferguson
Monica Barbaro,Heidi Wagner,Monica Barbaro
Chris Hemsworth,Leonie Hemsworth,Chris Hemsworth
Wes Anderson,Texas Ann Burroughs,Wes Anderson
Daniel Portman,Fiona Biggar,Daniel Portman
Lily-Rose Depp,Vanessa Paradis,Lily-Rose Depp
Myha'la Herrold,Unknown,Unknown
Zendaya,Claire Stoermer,Zendaya
Ezra Miller,Marta Miller,Ezra Miller
Olga Kurylenko,Marina Alyabusheva,Olga Kurylenko
Zazie Beetz,Heike Beetz,Zazie Beetz
Arnold Schwarzenegger,Aurelia Jadrny,Arnold Schwarzenegger
Emilia Clarke,Jennifer Clarke,Emilia Clarke
Jess Bush,Unknown,Unknown
Clara Rugaard,Unknown,Unknown
Molly Gordon,Jessie Nelson,Molly Gordon
Isabel May,Kimberly May,Isabel May
Hailee Steinfeld,Cheri Steinfeld,Hailee Steinfeld
Hannah Waddingham,Melodie Kelly,Hannah Waddingham
Christina Chong,Unknown,Unknown
Rory Culkin,Kit Culkin,Macaulay Culkin
Cobie Smulders,Unknown,Unknown
Harrison Ford,Dorothy Ford,Harrison Ford
Tom Cruise,Mary Lee Pfeiffer,Tom Cruise
Carol Kane,Joyce Lunney,Carol Kane
Alexandra Daddario,Christina Daddario,Alexandra Daddario
Gal Gadot,Irit Gadot,Gal Gadot
Tom Holland,Nikki Holland,Tom Holland
Hayley Atwell,Alison Cain,Hayley Atwell
Salma Hayek,Diana Jiménez Medina,Salma Hayek
Ana de Armas,Ana Rodriguez,Ana de Armas
Will Poulter,Fiona Poulter,Will Poulter
Anson Mount,Nancy Smith,Anson Mount
Paapa Essiedu,Unknown,Unknown
Sam Hargrave,Unknown,Unknown
Margot Robbie,Sarie Kessler,Margot Robbie
Nicolas Cage,Joy Vogelsang,Nicolas Cage
Henry Cavill,Marianne Cavill,Henry Cavill
Juno Temple,Amanda Pirie,Juno Temple
Cailee Spaeny,Rejoice Spaeny,Cailee Spaeny
Treat Williams,Marian Andrew Williams,Treat Williams
Alexander Skarsgård,My Skarsgård,Alexander Skarsgård
Rebecca Romijn,Elizabeth Kuizenga,Rebecca Romijn
Rebecca Romijn,Elizabeth Kuizenga,Rebecca Romijn
Monica Dolan,Unknown,Unknown
Anya Taylor-Joy,Unknown,Unknown
Sophia Lillis,Juliana Mellevold,Sophia Lillis
