Legislator,Mother
Sherrod Brown,Unknown,Unknown
Maria Cantwell,Unknown,Unknown
Benjamin L. Cardin,Unknown,Unknown
Thomas R. Carper,Unknown,Unknown
"Robert P. Casey, Jr.",Unknown,Unknown
Amy Klobuchar,Unknown,Unknown
Robert Menendez,Unknown,Unknown
Bernard Sanders,Unknown,Unknown
Debbie Stabenow,Unknown,Unknown
Jon Tester,Unknown,Unknown
Sheldon Whitehouse,Unknown,Unknown
John Barrasso,Unknown,Unknown
Roger F. Wicker,Unknown,Unknown
Susan M. Collins,Unknown,Unknown
John Cornyn,Unknown,Unknown
Richard J. Durbin,Unknown,Unknown
Lindsey Graham,Unknown,Unknown
Mitch McConnell,Unknown,Unknown
Jeff Merkley,Unknown,Unknown
Jack Reed,Unknown,Unknown
James E. Risch,Unknown,Unknown
Jeanne Shaheen,Unknown,Unknown
Mark R. Warner,Unknown,Unknown
Kirsten E. Gillibrand,Unknown,Unknown
Christopher A. Coons,Unknown,Unknown
"Joe Manchin, III",Unknown,Unknown
Robert B. Aderholt,Unknown,Unknown
Tammy Baldwin,Unknown,Unknown
Michael F. Bennet,Unknown,Unknown
Gus M. Bilirakis,Unknown,Unknown
"Sanford D. Bishop, Jr.",Unknown,Unknown
Marsha Blackburn,Unknown,Unknown
Earl Blumenauer,Unknown,Unknown
Richard Blumenthal,Unknown,Unknown
John Boozman,Unknown,Unknown
Vern Buchanan,Unknown,Unknown
Larry Bucshon,Unknown,Unknown
Michael C. Burgess,Unknown,Unknown
Ken Calvert,Unknown,Unknown
Shelley Moore Capito,Unknown,Unknown
André Carson,Unknown,Unknown
John R. Carter,Unknown,Unknown
Bill Cassidy,Unknown,Unknown
Kathy Castor,Unknown,Unknown
Judy Chu,Unknown,Unknown
Yvette D. Clarke,Unknown,Unknown
Emanuel Cleaver,Unknown,Unknown
James E. Clyburn,Unknown,Unknown
Steve Cohen,Unknown,Unknown
Tom Cole,Unknown,Unknown
Gerald E. Connolly,Unknown,Unknown
Jim Costa,Unknown,Unknown
Joe Courtney,Unknown,Unknown
Mike Crapo,Unknown,Unknown
"Eric A. ""Rick"" Crawford",Unknown,Unknown
Henry Cuellar,Unknown,Unknown
Danny K. Davis,Unknown,Unknown
Diana DeGette,Unknown,Unknown
Rosa L. DeLauro,Unknown,Unknown
Scott DesJarlais,Unknown,Unknown
Mario Diaz-Balart,Unknown,Unknown
Lloyd Doggett,Unknown,Unknown
Jeff Duncan,Unknown,Unknown
Anna G. Eshoo,Unknown,Unknown
"Charles J. ""Chuck"" Fleischmann",Unknown,Unknown
Virginia Foxx,Unknown,Unknown
John Garamendi,Unknown,Unknown
Paul A. Gosar,Unknown,Unknown
Kay Granger,Unknown,Unknown
Chuck Grassley,Unknown,Unknown
Sam Graves,Unknown,Unknown
Al Green,Unknown,Unknown
H. Morgan Griffith,Unknown,Unknown
Raúl M. Grijalva,Unknown,Unknown
Brett Guthrie,Unknown,Unknown
Andy Harris,Unknown,Unknown
Martin Heinrich,Unknown,Unknown
Brian Higgins,Unknown,Unknown
James A. Himes,Unknown,Unknown
Mazie K. Hirono,Unknown,Unknown
John Hoeven,Unknown,Unknown
Steny H. Hoyer,Unknown,Unknown
Bill Huizenga,Unknown,Unknown
Sheila Jackson Lee,Unknown,Unknown
Bill Johnson,Unknown,Unknown
"Henry C. ""Hank"" Johnson, Jr.",Unknown,Unknown
Ron Johnson,Unknown,Unknown
Jim Jordan,Unknown,Unknown
Marcy Kaptur,Unknown,Unknown
William R. Keating,Unknown,Unknown
Mike Kelly,Unknown,Unknown
Doug Lamborn,Unknown,Unknown
James Lankford,Unknown,Unknown
Rick Larsen,Unknown,Unknown
John B. Larson,Unknown,Unknown
Robert E. Latta,Unknown,Unknown
Barbara Lee,Unknown,Unknown
Mike Lee,Unknown,Unknown
Zoe Lofgren,Unknown,Unknown
Frank D. Lucas,Unknown,Unknown
Blaine Luetkemeyer,Unknown,Unknown
Ben Ray Luján,Unknown,Unknown
Stephen F. Lynch,Unknown,Unknown
Edward J. Markey,Unknown,Unknown
Doris O. Matsui,Unknown,Unknown
Kevin McCarthy,Unknown,Unknown
Michael T. McCaul,Unknown,Unknown
Tom McClintock,Unknown,Unknown
Betty McCollum,Unknown,Unknown
James P. McGovern,Unknown,Unknown
Patrick T. McHenry,Unknown,Unknown
Cathy McMorris Rodgers,Unknown,Unknown
Gregory W. Meeks,Unknown,Unknown
Gwen Moore,Unknown,Unknown
Jerry Moran,Unknown,Unknown
Lisa Murkowski,Unknown,Unknown
Christopher Murphy,Unknown,Unknown
Patty Murray,Unknown,Unknown
Jerrold Nadler,Unknown,Unknown
Grace F. Napolitano,Unknown,Unknown
Richard E. Neal,Unknown,Unknown
Eleanor Holmes Norton,Unknown,Unknown
"Frank Pallone, Jr.",Unknown,Unknown
"Bill Pascrell, Jr.",Unknown,Unknown
Rand Paul,Unknown,Unknown
Nancy Pelosi,Unknown,Unknown
Gary C. Peters,Unknown,Unknown
Chellie Pingree,Unknown,Unknown
Bill Posey,Unknown,Unknown
Mike Quigley,Unknown,Unknown
Harold Rogers,Unknown,Unknown
Mike Rogers,Unknown,Unknown
Marco Rubio,Unknown,Unknown
C. A. Dutch Ruppersberger,Unknown,Unknown
Gregorio Kilili Camacho Sablan,Unknown,Unknown
John P. Sarbanes,Unknown,Unknown
Steve Scalise,Unknown,Unknown
Janice D. Schakowsky,Unknown,Unknown
Adam B. Schiff,Unknown,Unknown
Charles E. Schumer,Unknown,Unknown
David Schweikert,Unknown,Unknown
Austin Scott,Unknown,Unknown
David Scott,Unknown,Unknown
"Robert C. ""Bobby"" Scott",Unknown,Unknown
Tim Scott,Unknown,Unknown
Terri A. Sewell,Unknown,Unknown
Brad Sherman,Unknown,Unknown
Michael K. Simpson,Unknown,Unknown
Adam Smith,Unknown,Unknown
Adrian Smith,Unknown,Unknown
Christopher H. Smith,Unknown,Unknown
Linda T. Sánchez,Unknown,Unknown
Bennie G. Thompson,Unknown,Unknown
Mike Thompson,Unknown,Unknown
Glenn Thompson,Unknown,Unknown
John Thune,Unknown,Unknown
Paul Tonko,Unknown,Unknown
Michael R. Turner,Unknown,Unknown
Chris Van Hollen,Unknown,Unknown
Nydia M. Velázquez,Unknown,Unknown
Tim Walberg,Unknown,Unknown
Debbie Wasserman Schultz,Unknown,Unknown
Maxine Waters,Unknown,Unknown
Daniel Webster,Unknown,Unknown
Peter Welch,Unknown,Unknown
Joe Wilson,Unknown,Unknown
Frederica S. Wilson,Unknown,Unknown
Robert J. Wittman,Unknown,Unknown
Steve Womack,Unknown,Unknown
Ron Wyden,Unknown,Unknown
Todd Young,Unknown,Unknown
Mark E. Amodei,Unknown,Unknown
Suzanne Bonamici,Unknown,Unknown
Suzan K. DelBene,Unknown,Unknown
Thomas Massie,Unknown,Unknown
"Donald M. Payne, Jr.",Unknown,Unknown
Brian Schatz,Unknown,Unknown
Bill Foster,Unknown,Unknown
Dina Titus,Unknown,Unknown
Tom Cotton,Unknown,Unknown
Kyrsten Sinema,Unknown,Unknown
Doug LaMalfa,Unknown,Unknown
Jared Huffman,Unknown,Unknown
Ami Bera,Unknown,Unknown
Eric Swalwell,Unknown,Unknown
Julia Brownley,Unknown,Unknown
Tony Cárdenas,Unknown,Unknown
Raul Ruiz,Unknown,Unknown
Mark Takano,Unknown,Unknown
Juan Vargas,Unknown,Unknown
Scott H. Peters,Unknown,Unknown
Lois Frankel,Unknown,Unknown
Tammy Duckworth,Unknown,Unknown
Andy Barr,Unknown,Unknown
Elizabeth Warren,Unknown,Unknown
"Angus S. King, Jr.",Unknown,Unknown
Daniel T. Kildee,Unknown,Unknown
Ann Wagner,Unknown,Unknown
Steve Daines,Unknown,Unknown
Richard Hudson,Unknown,Unknown
Kevin Cramer,Unknown,Unknown
Deb Fischer,Unknown,Unknown
Ann M. Kuster,Unknown,Unknown
Grace Meng,Unknown,Unknown
Hakeem S. Jeffries,Unknown,Unknown
Brad R. Wenstrup,Unknown,Unknown
Joyce Beatty,Unknown,Unknown
David P. Joyce,Unknown,Unknown
Markwayne Mullin,Unknown,Unknown
Scott Perry,Unknown,Unknown
Matt Cartwright,Unknown,Unknown
Ted Cruz,Eleanor Darragh,Unknown
"Randy K. Weber, Sr.",Unknown,Unknown
Joaquin Castro,Rosie Castro,Julián Castro
Roger Williams,Unknown,Unknown
Marc A. Veasey,Unknown,Unknown
Tim Kaine,Unknown,Unknown
Derek Kilmer,Unknown,Unknown
Mark Pocan,Unknown,Unknown
Robin L. Kelly,Unknown,Unknown
Jason Smith,Unknown,Unknown
Cory A. Booker,Unknown,Unknown
Katherine M. Clark,Unknown,Unknown
Donald Norcross,Unknown,Unknown
Alma S. Adams,Unknown,Unknown
Gary J. Palmer,Unknown,Unknown
J. French Hill,Unknown,Unknown
Bruce Westerman,Unknown,Unknown
Ruben Gallego,Unknown,Unknown
Mark DeSaulnier,Unknown,Unknown
Pete Aguilar,Unknown,Unknown
Ted Lieu,Unknown,Unknown
Norma J. Torres,Unknown,Unknown
Ken Buck,Unknown,Unknown
"Earl L. ""Buddy"" Carter",Unknown,Unknown
Barry Loudermilk,Unknown,Unknown
Rick W. Allen,Unknown,Unknown
Mike Bost,Unknown,Unknown
Garret Graves,Unknown,Unknown
Seth Moulton,Unknown,Unknown
John R. Moolenaar,Unknown,Unknown
Debbie Dingell,Unknown,Unknown
Tom Emmer,Unknown,Unknown
David Rouzer,Unknown,Unknown
Bonnie Watson Coleman,Unknown,Unknown
Elise M. Stefanik,Unknown,Unknown
Brendan F. Boyle,Unknown,Unknown
Brian Babin,Unknown,Unknown
"Donald S. Beyer, Jr.",Unknown,Unknown
Stacey E. Plaskett,Unknown,Unknown
Dan Newhouse,Unknown,Unknown
Glenn Grothman,Unknown,Unknown
Alexander X. Mooney,Unknown,Unknown
Aumua Amata Coleman Radewagen,Unknown,Unknown
Dan Sullivan,Unknown,Unknown
Joni Ernst,Unknown,Unknown
Thom Tillis,Unknown,Unknown
Mike Rounds,Unknown,Unknown
Trent Kelly,Unknown,Unknown
Darin LaHood,Unknown,Unknown
Warren Davidson,Unknown,Unknown
James Comer,Unknown,Unknown
Dwight Evans,Unknown,Unknown
John Kennedy,Rose Kennedy,John F. Kennedy
Margaret Wood Hassan,Unknown,Unknown
Catherine Cortez Masto,Unknown,Unknown
Bradley Scott Schneider,Unknown,Unknown
Andy Biggs,Unknown,Unknown
Ro Khanna,Unknown,Unknown
Jimmy Panetta,Unknown,Unknown
Salud O. Carbajal,Unknown,Unknown
Nanette Diaz Barragán,Unknown,Unknown
J. Luis Correa,Unknown,Unknown
Lisa Blunt Rochester,Unknown,Unknown
Matt Gaetz,Unknown,Unknown
Neal P. Dunn,Unknown,Unknown
John H. Rutherford,Unknown,Unknown
Darren Soto,Unknown,Unknown
Brian J. Mast,Unknown,Unknown
A. Drew Ferguson IV,Unknown,Unknown
Raja Krishnamoorthi,Unknown,Unknown
Jim Banks,Unknown,Unknown
Roger Marshall,Unknown,Unknown
Clay Higgins,Unknown,Unknown
Mike Johnson,Unknown,Unknown
Jamie Raskin,Unknown,Unknown
Jack Bergman,Unknown,Unknown
Ted Budd,Unknown,Unknown
Don Bacon,Unknown,Unknown
Josh Gottheimer,Unknown,Unknown
Jacky Rosen,Unknown,Unknown
Adriano Espaillat,Unknown,Unknown
Brian K. Fitzpatrick,Unknown,Unknown
Lloyd Smucker,Unknown,Unknown
Jenniffer González-Colón,Unknown,Unknown
David Kustoff,Unknown,Unknown
Vicente Gonzalez,Unknown,Unknown
Jodey C. Arrington,Unknown,Unknown
Pramila Jayapal,Unknown,Unknown
Mike Gallagher,Unknown,Unknown
Ron Estes,Unknown,Unknown
Ralph Norman,Unknown,Unknown
Jimmy Gomez,Unknown,Unknown
John R. Curtis,Unknown,Unknown
Tina Smith,Unknown,Unknown
Cindy Hyde-Smith,Unknown,Unknown
Debbie Lesko,Unknown,Unknown
Michael Cloud,Unknown,Unknown
Troy Balderson,Unknown,Unknown
Kevin Hern,Unknown,Unknown
Joseph D. Morelle,Unknown,Unknown
Mary Gay Scanlon,Unknown,Unknown
Susan Wild,Unknown,Unknown
Ed Case,Unknown,Unknown
Steven Horsford,Unknown,Unknown
Greg Stanton,Unknown,Unknown
Josh Harder,Unknown,Unknown
Katie Porter,Unknown,Unknown
Mike Levin,Unknown,Unknown
Joe Neguse,Unknown,Unknown
Jason Crow,Unknown,Unknown
Jahana Hayes,Unknown,Unknown
Michael Waltz,Unknown,Unknown
W. Gregory Steube,Unknown,Unknown
Lucy McBath,Unknown,Unknown
Russ Fulcher,Unknown,Unknown
"Jesús G. ""Chuy"" García",Unknown,Unknown
Sean Casten,Unknown,Unknown
Lauren Underwood,Unknown,Unknown
James R. Baird,Unknown,Unknown
Greg Pence,Unknown,Unknown
Sharice Davids,Unknown,Unknown
Lori Trahan,Unknown,Unknown
Ayanna Pressley,Unknown,Unknown
David J. Trone,Unknown,Unknown
Elissa Slotkin,Unknown,Unknown
Haley M. Stevens,Unknown,Unknown
Rashida Tlaib,Unknown,Unknown
Angie Craig,Unknown,Unknown
Dean Phillips,Unknown,Unknown
Ilhan Omar,Unknown,Unknown
Pete Stauber,Unknown,Unknown
Michael Guest,Unknown,Unknown
Kelly Armstrong,Unknown,Unknown
Chris Pappas,Unknown,Unknown
Jefferson Van Drew,Unknown,Unknown
Andy Kim,Unknown,Unknown
Mikie Sherrill,Unknown,Unknown
Susie Lee,Unknown,Unknown
Alexandria Ocasio-Cortez,Unknown,Unknown
Madeleine Dean,Unknown,Unknown
Chrissy Houlahan,Unknown,Unknown
Daniel Meuser,Unknown,Unknown
John Joyce,Unknown,Unknown
Guy Reschenthaler,Unknown,Unknown
William R. Timmons IV,Unknown,Unknown
Dusty Johnson,Unknown,Unknown
Tim Burchett,Unknown,Unknown
John W. Rose,Unknown,Unknown
Mark E. Green,Unknown,Unknown
Dan Crenshaw,Unknown,Unknown
Lance Gooden,Unknown,Unknown
Lizzie Fletcher,Unknown,Unknown
Veronica Escobar,Unknown,Unknown
Chip Roy,Unknown,Unknown
Sylvia R. Garcia,Unknown,Unknown
Colin Z. Allred,Unknown,Unknown
Ben Cline,Unknown,Unknown
Abigail Davis Spanberger,Unknown,Unknown
Jennifer Wexton,Unknown,Unknown
Kim Schrier,Unknown,Unknown
Bryan Steil,Unknown,Unknown
Carol D. Miller,Unknown,Unknown
Rick Scott,Unknown,Unknown
Mike Braun,Unknown,Unknown
Josh Hawley,Unknown,Unknown
Mitt Romney,Unknown,Unknown
Jared F. Golden,Unknown,Unknown
Dan Bishop,Unknown,Unknown
Gregory F. Murphy,Unknown,Unknown
Kweisi Mfume,Unknown,Unknown
Thomas P. Tiffany,Unknown,Unknown
Mike Garcia,Unknown,Unknown
Mark Kelly,Unknown,Unknown
Cynthia M. Lummis,Unknown,Unknown
Darrell Issa,Unknown,Unknown
Pete Sessions,Unknown,Unknown
David G. Valadao,Unknown,Unknown
Tommy Tuberville,Unknown,Unknown
John W. Hickenlooper,Unknown,Unknown
Bill Hagerty,Unknown,Unknown
Jerry L. Carl,Unknown,Unknown
Barry Moore,Unknown,Unknown
Jay Obernolte,Unknown,Unknown
Young Kim,Unknown,Unknown
Michelle Steel,Unknown,Unknown
Sara Jacobs,Unknown,Unknown
Lauren Boebert,Unknown,Unknown
Kat Cammack,Unknown,Unknown
Scott Franklin,Unknown,Unknown
Byron Donalds,Unknown,Unknown
Carlos A. Gimenez,Unknown,Unknown
Maria Elvira Salazar,Unknown,Unknown
Nikema Williams,Unknown,Unknown
Andrew S. Clyde,Unknown,Unknown
Marjorie Taylor Greene,Unknown,Unknown
Ashley Hinson,Unknown,Unknown
Mariannette Miller-Meeks,Unknown,Unknown
Randy Feenstra,Unknown,Unknown
Mary E. Miller,Unknown,Unknown
Frank J. Mrvan,Unknown,Unknown
Victoria Spartz,Unknown,Unknown
Tracey Mann,Unknown,Unknown
Jake LaTurner,Unknown,Unknown
Jake Auchincloss,Unknown,Unknown
Lisa C. McClain,Unknown,Unknown
Michelle Fischbach,Unknown,Unknown
Cori Bush,Unknown,Unknown
