Legislator,Mother
Sherrod Brown,Emily Campbell Brown,Unknown
Maria Cantwell,Rose Cantwell,Unknown
Benjamin L. Cardin,Dora Green,Unknown
Thomas R. Carper,Mary Jean Patton,Brad Pitt
"Robert P. Casey, Jr.",Ellen Harding Casey,Unknown
Amy Klobuchar,Rose Heuberger,Unknown
Robert Menendez,Evangelina Menendez,Robert Menendez
Bernard Sanders,Dorothy Sanders,Unknown
Debbie Stabenow,Anna Merle Halliday Greer,Unknown
Jon Tester,Helen Marie Pearson,Unknown
Sheldon Whitehouse,Mary Celine Rand Whitehouse,Charles Whitehouse
John Barrasso,Unknown,Unknown
Roger F. Wicker,Wordna Wicker,Unknown
Susan M. Collins,Patricia Collins,Unknown
John Cornyn,Atha Cornyn,Unknown
Richard J. Durbin,Unknown,Unknown
Lindsey Graham,Millie Graham,Unknown
Mitch McConnell,"Julia Odene ""Dean"" McConnell",Unknown
Jeff Merkley,Darlene Merkley,Unknown
Jack Reed,Unknown,Unknown
James E. Risch,Helen Risch,Unknown
Jeanne Shaheen,Belle Rita Novick,Unknown
Mark R. Warner,Marjorie Johnston Warner,Mark R. Warner
Kirsten E. Gillibrand,Polly Edwina Noonan,Kirsten Gillibrand
Christopher A. Coons,Sarah Louise Coons,Unknown
"Joe Manchin, III",Mary Gouzd Manchin,Joe Manchin
Robert B. Aderholt,Mary Frances Aderholt,Unknown
Tammy Baldwin,Pamela Bin-Rella,Unknown
Michael F. Bennet,Susanne Bennet,Unknown
Gus M. Bilirakis,Eva Bilirakis,Unknown
"Sanford D. Bishop, Jr.",Minnie S. Bishop,Unknown
Marsha Blackburn,Mary Jo Morgan,Unknown
Earl Blumenauer,Unknown,Unknown
Richard Blumenthal,Jane Rosenstock,Unknown
John Boozman,Marie Boozman,Unknown
Vern Buchanan,Unknown,Unknown
Larry Bucshon,Unknown,Unknown
Michael C. Burgess,Unknown,Unknown
Ken Calvert,Unknown,Unknown
Shelley Moore Capito,Shelley Riley Moore,Unknown
André Carson,Julia Carson,Andre Carson
John R. Carter,Unknown,Unknown
Bill Cassidy,Unknown,Unknown
