Legislator,Mother,Child
Sherrod Brown,Emily Campbell Brown,Sherrod Brown
Maria Cantwell,Rose Cantwell,Maria Cantwell
Benjamin L. Cardin,Dora Green,Benjamin L. Cardin
Thomas R. Carper,Mary Jean Patton,Thomas R. Carper
"Robert P. Casey, Jr.",Ellen Harding Casey,"Robert P. Casey, Jr."
Amy Klobuchar,Rose Heuberger,Amy Klobuchar
Robert Menendez,Evangelina Menendez,Robert Menendez
Bernard Sanders,Dorothy Sanders,Bernard Sanders
Debbie Stabenow,Unknown,Unknown
Jon Tester,Helen Marie Pearson,Jon Tester
Sheldon Whitehouse,Mary Celine Rand Whitehouse,Sheldon Whitehouse
John Barrasso,Unknown,Unknown
Roger F. Wicker,Wordna Wicker,Roger F. Wicker
Susan M. Collins,Patricia Collins,Susan M. Collins
John Cornyn,Atha Cornyn,John Cornyn
Richard J. Durbin,Unknown,Unknown
Lindsey Graham,Millie Graham,Lindsey Graham
Mitch McConnell,"Julia Odene ""Dean"" McConnell",Mitch McConnell
Jeff Merkley,Darlene Merkley,Jeff Merkley
Jack Reed,Unknown,Unknown
James E. Risch,Helen Risch,James E. Risch
Jeanne Shaheen,Belle Rita Novick,Jeanne Shaheen
Mark R. Warner,Marjorie Johnston Warner,Mark R. Warner
Kirsten E. Gillibrand,Polly Edwina Noonan,Kirsten E. Gillibrand
Christopher A. Coons,Sarah Louise Coons,Christopher A. Coons
"Joe Manchin, III",Mary Gouzd Manchin,"Joe Manchin, III"
Robert B. Aderholt,Unknown,Unknown
Tammy Baldwin,Pamela Bin-Rella,Tammy Baldwin
Michael F. Bennet,Susanne Bennet,Michael F. Bennet
Gus M. Bilirakis,Eva Bilirakis,Gus M. Bilirakis
"Sanford D. Bishop, Jr.",Minnie S. Bishop,"Sanford D. Bishop, Jr."
Marsha Blackburn,Mary Jo Morgan,Marsha Blackburn
Earl Blumenauer,Unknown,Unknown
Richard Blumenthal,Jane Rosenstock,Richard Blumenthal
John Boozman,Marie Boozman,John Boozman
Vern Buchanan,Unknown,Unknown
Larry Bucshon,Unknown,Unknown
Michael C. Burgess,Unknown,Unknown
Ken Calvert,Unknown,Unknown
Shelley Moore Capito,Shelley Riley Moore,Shelley Moore Capito
André Carson,Julia Carson,André Carson
John R. Carter,Unknown,Unknown
Bill Cassidy,Unknown,Unknown
Kathy Castor,Betty Castor,Kathy Castor
Judy Chu,Unknown,Unknown
Yvette D. Clarke,Una S. T. Clarke,Yvette D. Clarke
Emanuel Cleaver,Unknown,Unknown
James E. Clyburn,Almeta Dizzley Clyburn,James E. Clyburn
Steve Cohen,Unknown,Unknown
Tom Cole,Unknown,Unknown
Gerald E. Connolly,Unknown,Unknown
Jim Costa,Unknown,Unknown
Joe Courtney,Unknown,Unknown
Mike Crapo,Melba Olson,Mike Crapo
"Eric A. ""Rick"" Crawford",Unknown,Unknown
Henry Cuellar,Odilia Cuellar,Henry Cuellar
Danny K. Davis,Unknown,Unknown
Diana DeGette,Patricia Anna DeGette,Diana DeGette
Rosa L. DeLauro,Luisa Canestrari DeLauro,Rosa L. DeLauro
Scott DesJarlais,Unknown,Unknown
Mario Diaz-Balart,Hilda Caballero Brunet,Mario Diaz-Balart
Lloyd Doggett,Adriel Doggett,Lloyd Doggett
Jeff Duncan,Unknown,Unknown
Anna G. Eshoo,Alice Kaligian,Anna G. Eshoo
"Charles J. ""Chuck"" Fleischmann",Unknown,Unknown
Virginia Foxx,Unknown,Unknown
John Garamendi,Mary Jean Garamendi,John Garamendi
Paul A. Gosar,Bernadette M. Gosar,Paul A. Gosar
Kay Granger,Unknown,Unknown
Chuck Grassley,Ruth Corwin Grassley,Chuck Grassley
Sam Graves,Unknown,Unknown
Al Green,Corine Green,Al Green
H. Morgan Griffith,Unknown,Unknown
Raúl M. Grijalva,Unknown,Unknown
Brett Guthrie,Carolyn Guthrie,Brett Guthrie
Andy Harris,Unknown,Unknown
Martin Heinrich,Unknown,Unknown
Brian Higgins,Unknown,Unknown
James A. Himes,Judy Himes,James A. Himes
Mazie K. Hirono,Laura Chieko Hirono,Mazie K. Hirono
John Hoeven,Patricia Chapman,John Hoeven
Steny H. Hoyer,Marjorie L. Hoyer,Steny H. Hoyer
Bill Huizenga,Unknown,Unknown
Sheila Jackson Lee,Unknown,Unknown
Bill Johnson,Unknown,Unknown
"Henry C. ""Hank"" Johnson, Jr.",Unknown,Unknown
Ron Johnson,Unknown,Unknown
Jim Jordan,Unknown,Unknown
Marcy Kaptur,Anastasia Delores Rogowski Kaptur,Marcy Kaptur
William R. Keating,Unknown,Unknown
Mike Kelly,Unknown,Unknown
Doug Lamborn,Unknown,Unknown
James Lankford,Linda Joyce Lankford,James Lankford
Rick Larsen,Unknown,Unknown
John B. Larson,Unknown,Unknown
Robert E. Latta,Unknown,Unknown
Barbara Lee,Unknown,Unknown
Mike Lee,Unknown,Unknown
Zoe Lofgren,Unknown,Unknown
Frank D. Lucas,Unknown,Unknown
Blaine Luetkemeyer,Unknown,Unknown
Ben Ray Luján,Carmen Luján,Ben Ray Luján
Stephen F. Lynch,Anne M. Lynch,Stephen F. Lynch
Edward J. Markey,Christina M. Markey,Edward J. Markey
Doris O. Matsui,Unknown,Unknown
Kevin McCarthy,Unknown,Unknown
Michael T. McCaul,Frances Jane Lott McCaul,Michael T. McCaul
Tom McClintock,Unknown,Unknown
Betty McCollum,Unknown,Unknown
James P. McGovern,Unknown,Unknown
Patrick T. McHenry,Unknown,Unknown
Cathy McMorris Rodgers,Corrine McMorris,Cathy McMorris Rodgers
Gregory W. Meeks,Mary Meeks,Gregory W. Meeks
Gwen Moore,Unknown,Unknown
Jerry Moran,Doris Moran,Jerry Moran
Lisa Murkowski,Nancy Murkowski,Lisa Murkowski
Christopher Murphy,Unknown,Unknown
Patty Murray,Beverly McLaughlin,Patty Murray
Jerrold Nadler,Miriam Nadler,Jerrold Nadler
Grace F. Napolitano,Unknown,Unknown
Richard E. Neal,Mary Garvey Neal,Richard E. Neal
Eleanor Holmes Norton,Vela Holmes,Eleanor Holmes Norton
"Frank Pallone, Jr.",Beatrice Pallone,"Frank Pallone, Jr."
"Bill Pascrell, Jr.",Maria Loffio Pascrell,"Bill Pascrell, Jr."
Rand Paul,Carol Wells Paul,Rand Paul
Nancy Pelosi,"Annunciata M. ""Nancy"" D'Alesandro",Nancy Pelosi
Gary C. Peters,Madeleine A. Peters,Gary C. Peters
Chellie Pingree,Unknown,Unknown
Bill Posey,Unknown,Unknown
Mike Quigley,Unknown,Unknown
Harold Rogers,Unknown,Unknown
Mike Rogers,Unknown,Unknown
Marco Rubio,Oria Garcia Rubio,Marco Rubio
C. A. Dutch Ruppersberger,Geraldine Ruppersberger,C. A. Dutch Ruppersberger
Gregorio Kilili Camacho Sablan,Unknown,Unknown
John P. Sarbanes,Dina Sarbanes,John P. Sarbanes
Steve Scalise,Carol Scalise,Steve Scalise
Janice D. Schakowsky,Tillie Kalish,Janice D. Schakowsky
Adam B. Schiff,Sherrill Ann Glovsky,Adam B. Schiff
Charles E. Schumer,Selma Schumer,Charles E. Schumer
David Schweikert,Unknown,Unknown
Austin Scott,Unknown,Unknown
David Scott,Unknown,Unknown
"Robert C. ""Bobby"" Scott",Mae Hamlin Scott,"Robert C. ""Bobby"" Scott"
Tim Scott,Frances Scott,Tim Scott
Terri A. Sewell,Nancy Gardner Sewell,Terri A. Sewell
Brad Sherman,Lane Sherman,Brad Sherman
Michael K. Simpson,Unknown,Unknown
Adam Smith,Margaret Douglas,Adam Smith
Adrian Smith,Unknown,Unknown
Christopher H. Smith,Unknown,Unknown
Linda T. Sánchez,Maria Macias,Linda T. Sánchez
Bennie G. Thompson,Unknown,Unknown
Mike Thompson,Unknown,Unknown
Glenn Thompson,Unknown,Unknown
John Thune,Yvonne Patricia Thune,John Thune
Paul Tonko,Unknown,Unknown
Michael R. Turner,Unknown,Unknown
Chris Van Hollen,Edith Eliza Farnsworth Van Hollen,Chris Van Hollen
Nydia M. Velázquez,Unknown,Unknown
Tim Walberg,Unknown,Unknown
Debbie Wasserman Schultz,Ann Wasserman,Debbie Wasserman Schultz
Maxine Waters,Velma Lee Moore,Maxine Waters
Daniel Webster,Abigail Eastman,Daniel Webster
Peter Welch,Unknown,Unknown
Joe Wilson,Unknown,Unknown
Frederica S. Wilson,Beulah Finley Smith,Frederica S. Wilson
Robert J. Wittman,Unknown,Unknown
Steve Womack,Unknown,Unknown
Ron Wyden,Edith Rosenow,Ron Wyden
Todd Young,Nancy Young,Todd Young
Mark E. Amodei,Joyce B. Amodei,Mark E. Amodei
Suzanne Bonamici,Unknown,Unknown
Suzan K. DelBene,Unknown,Unknown
Thomas Massie,Rhonda Massie,Thomas Massie
"Donald M. Payne, Jr.",Hazel Johnson Payne,"Donald M. Payne, Jr."
Brian Schatz,Barbara Schatz,Brian Schatz
Bill Foster,Unknown,Unknown
Dina Titus,Unknown,Unknown
Tom Cotton,Avis Cotton,Tom Cotton
Kyrsten Sinema,Marilyn Sinema,Kyrsten Sinema
Doug LaMalfa,Unknown,Unknown
Jared Huffman,Unknown,Unknown
Ami Bera,Unknown,Unknown
Eric Swalwell,Vicky Swalwell,Eric Swalwell
Julia Brownley,Unknown,Unknown
Tony Cárdenas,Unknown,Unknown
Raul Ruiz,Unknown,Unknown
Mark Takano,Unknown,Unknown
Juan Vargas,Unknown,Unknown
Scott H. Peters,Unknown,Unknown
Lois Frankel,Unknown,Unknown
Tammy Duckworth,Lamai Sompornpairin,Tammy Duckworth
Andy Barr,Unknown,Unknown
Elizabeth Warren,Pauline Reed,Elizabeth Warren
"Angus S. King, Jr.",Ellen T. King,"Angus S. King, Jr."
Daniel T. Kildee,Unknown,Unknown
Ann Wagner,Unknown,Unknown
Steve Daines,Sharon R. Daines,Steve Daines
Richard Hudson,Unknown,Unknown
Kevin Cramer,Marlis Cramer,Kevin Cramer
Deb Fischer,Unknown,Unknown
Ann M. Kuster,Susan McLane,Ann McLane Kuster
Grace Meng,Shiao-Mei Meng,Grace Meng
Hakeem S. Jeffries,Unknown,Unknown
Brad R. Wenstrup,Joan Wenstrup,Brad R. Wenstrup
Joyce Beatty,Unknown,Unknown
David P. Joyce,Unknown,Unknown
Markwayne Mullin,Unknown,Unknown
Scott Perry,Unknown,Unknown
Matt Cartwright,Unknown,Unknown
Ted Cruz,Eleanor Darragh,Ted Cruz
"Randy K. Weber, Sr.",Unknown,Unknown
Joaquin Castro,Rosie Castro,Joaquin Castro
Roger Williams,Alice Pemberton,Roger Williams
Marc A. Veasey,Unknown,Unknown
Tim Kaine,Kathleen Burns,Tim Kaine
Derek Kilmer,J.C. Kilmer,Derek Kilmer
Mark Pocan,Unknown,Unknown
Robin L. Kelly,Unknown,Unknown
Jason Smith,Unknown,Unknown
Cory A. Booker,Carolyn Rose Jordan,Cory A. Booker
Katherine M. Clark,Judith Clark,Katherine M. Clark
Donald Norcross,Carolyn Norcross,Donald Norcross
