President,Wife,Husband
George Washington,Martha Washington,George Washington
John Adams,Abigail Adams,John Adams
Thomas Jefferson,Martha Jefferson,Thomas Jefferson
James Madison,Dolley Madison,James Madison
James Monroe,Elizabeth Monroe,James Monroe
John Quincy Adams,Louisa Adams,John Quincy Adams
Andrew Jackson,Rachel Jackson,Andrew Jackson
Martin Van Buren,Hannah Van Buren,Martin Van Buren
William Henry Harrison,Anna Harrison,William Henry Harrison
John Tyler,Unknown,Unknown
James K. Polk,Sarah Polk,James K. Polk
Zachary Taylor,Margaret Taylor,Zachary Taylor
Millard Fillmore,Abigail Fillmore,Millard Fillmore
Franklin Pierce,Jane Pierce,Franklin Pierce
Abraham Lincoln,Mary Todd Lincoln,Abraham Lincoln
Andrew Johnson,Eliza Johnson,Andrew Johnson
Ulysses S. Grant,Julia Grant,Ulysses S. Grant
Rutherford B. Hayes,Lucy Hayes,Rutherford B. Hayes
James A. Garfield,Lucretia Garfield,James A. Garfield
Chester A. Arthur,Ellen Lewis Herndon Arthur,Chester A. Arthur
Grover Cleveland,Frances Cleveland,Grover Cleveland
Benjamin Harrison,Caroline Harrison,Benjamin Harrison
William McKinley,Ida McKinley,William McKinley
Theodore Roosevelt,Edith Roosevelt,Theodore Roosevelt
William Howard Taft,Helen Herron Taft,William Howard Taft
Woodrow Wilson,Edith Wilson,Woodrow Wilson
Warren G. Harding,Florence Harding,Warren G. Harding
Calvin Coolidge,Grace Coolidge,Calvin Coolidge
Herbert Hoover,Lou Henry Hoover,Herbert Hoover
Franklin D. Roosevelt,Eleanor Roosevelt,Franklin D. Roosevelt
Harry S. Truman,Bess Truman,Harry S. Truman
Dwight D. Eisenhower,Mamie Eisenhower,Dwight D. Eisenhower
John F. Kennedy,Jacqueline Kennedy,John F. Kennedy
Lyndon B. Johnson,Lady Bird Johnson,Lyndon B. Johnson
Richard Nixon,Pat Nixon,Richard Nixon
Gerald Ford,Betty Ford,Gerald Ford
Jimmy Carter,Rosalynn Carter,Jimmy Carter
Ronald Reagan,Nancy Reagan,Ronald Reagan
George H. W. Bush,Barbara Bush,George H. W. Bush
Bill Clinton,Hillary Clinton,Bill Clinton
George W. Bush,Laura Bush,George W. Bush
Barack Obama,Michelle Obama,Barack Obama
